K,K,var,RSS,R2,R2_adj,AIC,BIC,Cp
19,19,"('AtBat', 'Hits', 'HmRun', 'Runs', 'RBI', 'Walks', 'Years', 'CAtBat', 'CHits', 'CHmRun', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Errors', 'League_N', 'Division_W', 'NewLeague_N')",24200699.551662777,0.5461158619125321,0.5106269786875861,3792.3827797249937,3863.825860368549,46.162604967181196
18,18,"('AtBat', 'Hits', 'HmRun', 'Runs', 'RBI', 'Walks', 'Years', 'CAtBat', 'CHits', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Errors', 'League_N', 'Division_W', 'NewLeague_N')",24201837.358635847,0.5460945223419063,0.5126096920228665,3790.3951444997792,3858.2660711111566,46.16459921821737
17,17,"('AtBat', 'Hits', 'HmRun', 'Runs', 'RBI', 'Walks', 'CAtBat', 'CHits', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Errors', 'League_N', 'Division_W', 'NewLeague_N')",24209446.756638974,0.545951808076699,0.5144464233310005,3788.4778224013417,3852.7765949805416,46.17893785772363
16,16,"('AtBat', 'Hits', 'HmRun', 'Runs', 'RBI', 'Walks', 'CAtBat', 'CHits', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Errors', 'League_N', 'Division_W')",24219377.4729298,0.54576555748528,0.5162218539070869,3786.58568289404,3847.312301441062,46.19770422911688
15,15,"('AtBat', 'Hits', 'HmRun', 'Runs', 'Walks', 'CAtBat', 'CHits', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Errors', 'League_N', 'Division_W')",24235177.355220765,0.5454692306811639,0.5178661475241496,3784.7571990375495,3841.9116635523937,46.227665664338915
14,14,"('AtBat', 'Hits', 'HmRun', 'Runs', 'Walks', 'CAtBat', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Errors', 'League_N', 'Division_W')",24248660.392792,0.5452163563014891,0.5195430860927022,3782.90347619453,3836.4857866771963,46.253207595254054
13,13,"('AtBat', 'Hits', 'Runs', 'Walks', 'CAtBat', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Errors', 'League_N', 'Division_W')",24289147.838241458,0.5444570142319775,0.5206736454971008,3781.3422352160405,3831.3523916665295,46.33025880367076
12,12,"('AtBat', 'Hits', 'Runs', 'Walks', 'CAtBat', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'League_N', 'Division_W')",24333232.379272252,0.5436302086321629,0.5217244586465067,3779.819144713941,3826.257147132252,46.414170666061324
11,11,"('AtBat', 'Hits', 'Walks', 'CAtBat', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'League_N', 'Division_W')",24387345.05143986,0.5426153254254205,0.522570578730917,3778.403359408537,3821.2692077946704,46.5172098689037
10,10,"('AtBat', 'Hits', 'Walks', 'CAtBat', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Assists', 'Division_W')",24500401.537739597,0.5404949509407981,0.522260623597179,3777.619775012732,3816.9134693666874,46.732679191510144
9,9,"('AtBat', 'Hits', 'Walks', 'CAtBat', 'CRuns', 'CRBI', 'CWalks', 'PutOuts', 'Division_W')",24814051.386586916,0.5346124477924317,0.5180571593739807,3778.9652860213932,3814.686826343171,47.33076221097816
8,8,"('AtBat', 'Hits', 'Walks', 'CHmRun', 'CRuns', 'CWalks', 'PutOuts', 'Division_W')",25136929.93896012,0.5285568603025744,0.5137082574774587,3780.3653490320316,3812.5147353216316,47.94644359256524
7,7,"('Hits', 'Walks', 'CAtBat', 'CHits', 'CHmRun', 'PutOuts', 'Division_W')",25906547.50062374,0.5141226823612731,0.5007848736417787,3786.296813317884,3814.874045575306,49.414231693615356
6,6,"('AtBat', 'Hits', 'Walks', 'CRBI', 'PutOuts', 'Division_W')",26194903.927595206,0.5087145573589968,0.4972000547970983,3787.207999572956,3812.2130777982,49.9640530673355
5,5,"('AtBat', 'Hits', 'CRBI', 'PutOuts', 'Division_W')",27149899.43201154,0.4908036159635183,0.4808970715270109,3794.62562374912,3816.058547942187,51.785410056250136
4,4,"('Hits', 'CRBI', 'PutOuts', 'Division_W')",27970851.815816276,0.47540665339478694,0.4672734232148611,3800.4602935887474,3818.3210637496363,53.35108179685638
3,3,"('Hits', 'CRBI', 'PutOuts')",29249296.855867315,0.45142941571795725,0.44507531628611896,3810.214440261381,3824.503056390092,55.789351234529576
2,2,"('Hits', 'CRBI')",30646559.890372835,0.42522374646677885,0.4208023906703695,3820.487304575255,3831.2037666717883,58.454231569451736
1,1,"('CRBI',)",36179679.25504183,0.3214500886678946,0.3188502805784995,3862.1393074062353,3869.283615470591,69.00765662767736
