date,mkt_rf,rf
199402,-0.005733448,0.008719
199403,-0.140417362,0.008719
199404,-0.168803863,0.008719
199405,-0.050044268,0.008719
199406,-0.1576434,0.008719
199407,-0.245339974,0.008719
199408,1.126362308,0.008719
199409,0.05075964,0.008719
199410,-0.209376151,0.008719
199411,0.028550484,0.008719
199412,-0.065554535,0.008719
199501,-0.131828842,0.008719
199502,-0.025635046,0.008719
199503,0.121853737,0.008719
199504,-0.117091474,0.008719
199505,0.15127026,0.008719
199506,-0.090082862,0.008719
199507,0.059653912,0.008719
199508,0.048676408,0.008719
199509,-0.010066321,0.008719
199510,0.005800018,0.008719
199511,-0.087035426,0.008719
199512,-0.119050503,0.008719
199601,-0.044621569,0.008719
199602,0.020892522,0.008719
199603,-0.006803541,0.008719
199604,0.305608571,0.008719
199605,-0.040935333,0.007346
199606,0.208600005,0.007346
199607,0.184270819,0.007346
199608,0.003008499,0.006022
199609,0.044754357,0.006022
199610,0.274764553,0.006022
199611,0.086346601,0.006022
199612,-0.212681795,0.006022
199701,0.093638266,0.006022
199702,0.067342704,0.006022
199703,0.191756105,0.006022
199704,0.110803336,0.006022
199705,-0.086131224,0.006022
199706,0.00886048,0.006022
199707,-0.089252549,0.006022
199708,-0.002554936,0.006022
199709,-0.133943243,0.006022
199710,0.120344291,0.004606
199711,-0.054623749,0.004606
199712,0.042398146,0.004606
199801,0.025848713,0.004606
199802,-0.02082657,0.004606
199803,0.026290696,0.004249
199804,0.085198094,0.004249
199805,0.063144275,0.004249
199806,-0.078295745,0.004249
199807,-0.012866931,0.003891
199808,-0.129549617,0.003891
199809,0.073041184,0.003891
199810,-0.014053358,0.003891
199811,0.01268872,0.003891
199812,-0.090950185,0.003097
199901,-0.007519078,0.003097
199902,-0.044770883,0.003097
199903,0.064888125,0.003097
199904,-0.040705938,0.003097
199905,0.103324361,0.003097
199906,0.362693552,0.001856
199907,-0.068506522,0.001856
199908,0.00671433,0.001856
199909,-0.031137774,0.001856
199910,-0.052962256,0.001856
199911,-0.044845361,0.001856
199912,-0.048113811,0.001856
200001,0.170252378,0.001856
200002,0.126036537,0.001856
200003,0.051852967,0.001856
200004,0.01096482,0.001856
200005,0.025253959,0.001856
200006,0.022169298,0.001856
200007,0.043037167,0.001856
200008,-0.007069862,0.001856
200009,-0.049645619,0.001856
200010,0.020024406,0.001856
200011,0.054474807,0.001856
200012,-0.005421498,0.001856
200101,-0.011342343,0.001856
200102,-0.061521122,0.001856
200103,0.073483406,0.001856
200104,-0.00873403,0.001856
200105,0.030725581,0.001856
200106,-0.001973427,0.001856
200107,-0.133202267,0.001856
200108,-0.035928997,0.001856
200109,-0.057626705,0.001856
200110,-0.052146022,0.001856
200111,0.03838775,0.001856
200112,-0.064509042,0.001856
200201,-0.109501114,0.001856
200202,0.027360463,0.001635
200203,0.065319252,0.001635
200204,0.039299584,0.001635
200205,-0.085010279,0.001635
200206,0.124447014,0.001635
200207,-0.042630572,0.001635
200208,0.003733772,0.001635
200209,-0.057032412,0.001635
200210,-0.051488695,0.001635
200211,-0.065060039,0.001635
200212,-0.048756312,0.001635
200301,0.08942354,0.001635
200302,0.010090789,0.001635
200303,-0.017786672,0.001635
200304,-0.019010448,0.001635
200305,0.045623579,0.001635
200306,-0.067324721,0.001635
200307,-0.012027086,0.001635
200308,-0.03243087,0.001635
200309,-0.043916191,0.001635
200310,-0.040882854,0.001635
200311,0.022321285,0.001635
200312,0.020959527,0.001635
200401,0.073638817,0.001635
200402,0.073292532,0.001635
200403,0.034880408,0.001635
200404,-0.103896265,0.001635
200405,-0.024233372,0.001635
200406,-0.117855358,0.001635
200407,-0.002435273,0.001635
200408,-0.046213719,0.001635
200409,0.055438302,0.001635
200410,-0.055382763,0.001856
200411,0.022556893,0.001856
200412,-0.070718766,0.001856
200501,-0.059474889,0.001856
200502,0.09345516,0.001856
200503,-0.107288338,0.001856
200504,-0.03832515,0.001856
200505,-0.07154427,0.001856
200506,0.007509597,0.001856
200507,-0.021784141,0.001856
200508,0.088359224,0.001856
200509,0.005042481,0.001856
200510,-0.055478662,0.001856
200511,-0.005870216,0.001856
200512,0.05022589,0.001856
200601,0.094048986,0.001856
200602,0.027785908,0.001856
200603,0.018811873,0.001856
200604,0.111661432,0.001856
200605,0.2099326,0.001856
200606,0.043369922,0.001856
200607,-0.056584997,0.001856
200608,0.03014589,0.002076
200609,0.039658561,0.002076
200610,0.0125222,0.002076
200611,0.108190203,0.002076
200612,0.115131203,0.002076
200701,0.207871106,0.002076
200702,0.127288616,0.002076
200703,0.124409339,0.002296
200704,0.315289371,0.002296
200705,0.109498091,0.002515
200706,-0.108953121,0.002515
200707,0.197866554,0.002734
200708,0.136314745,0.002952
200709,0.049804094,0.003169
200710,-0.052914062,0.003169
200711,-0.142034125,0.003169
200712,0.181203081,0.003386
200801,-0.093557516,0.003386
200802,0.045188194,0.003386
200803,-0.200644656,0.003386
200804,-0.022491322,0.003386
200805,-0.058670177,0.003386
200806,-0.241237929,0.003386
200807,0.04461198,0.003386
200808,-0.218648931,0.003386
200809,-0.04266548,0.003386
200810,-0.27436229,0.002952
200811,0.165917526,0.002076
200812,0.006023308,0.001856
200901,0.129778675,0.001856
200902,0.060852635,0.001856
200903,0.187482903,0.001856
200904,0.059568119,0.001856
200905,0.050067472,0.001856
200906,0.082215754,0.001856
200907,0.169428862,0.001856
200908,-0.191407874,0.001856
200909,0.039351063,0.001856
200910,0.100174204,0.001856
200911,0.109136507,0.001856
200912,0.024385725,0.001856
201001,-0.077271857,0.001856
201002,0.037326562,0.001856
201003,0.013742331,0.001856
201004,-0.079029982,0.001856
201005,-0.088813778,0.001856
201006,-0.092540678,0.001856
201007,0.144574194,0.001856
201008,0.055620937,0.001856
201009,0.024565909,0.001856
201010,0.118208161,0.00206
201011,-0.038399128,0.00206
201012,-0.010862957,0.002263
201101,-0.025281149,0.002263
201102,0.061291238,0.002466
201103,-0.005173147,0.002466
201104,-0.022206191,0.002669
201105,-0.069725163,0.002669
201106,0.030028925,0.002669
201107,-0.008025777,0.002871
201108,-0.053867679,0.002871
201109,-0.09773428,0.002871
201110,0.028418002,0.002871
201111,-0.053575812,0.002871
201112,-0.095650555,0.002871
201201,0.025378046,0.002871
201202,0.079079773,0.002871
201203,-0.076928798,0.002871
201204,0.058658912,0.002871
201205,0.002404701,0.002871
201206,-0.065198796,0.002669
201207,-0.062506996,0.002466
201208,-0.02820064,0.002466
201209,0.027462285,0.002466
201210,-0.010768889,0.002466
201211,-0.076534192,0.002466
201212,0.137511504,0.002466
201301,0.036602456,0.002466
201302,0.007606383,0.002466
201303,-0.044611661,0.002466
201304,-0.033286174,0.002466
201305,0.085010427,0.002466
201306,-0.14648536,0.002466
201307,0.040159671,0.002466
201308,0.055717008,0.002466
201309,0.042687627,0.002466
201310,-0.028144088,0.002466
201311,0.050120284,0.002466
201312,-0.042490785,0.002466
201401,-0.018250782,0.002466
201402,0.014606332,0.002466
201403,-0.027861308,0.002466
201404,-0.014566472,0.002466
201405,0.012622491,0.002466
201406,0.025781915,0.002466
201407,0.074689848,0.002466
201408,0.027964195,0.002466
201409,0.089599862,0.002466
201410,0.012590779,0.002466
201411,0.056812752,0.002263
201412,0.092975208,0.002263
201501,0.039973549,0.002263
201502,0.051538213,0.002263
201503,0.171866771,0.00206
201504,0.199267006,0.00206
201505,0.112851356,0.001856
201506,-0.090955813,0.001652
201507,-0.161367446,0.001652
201508,-0.142969874,0.001447
201509,-0.064062478,0.001447
201510,0.161309833,0.001241
201511,0.027922369,0.001241
201512,0.040962226,0.001241
201601,-0.265642281,0.001241
201602,-0.021069636,0.001241
201603,0.144300833,0.001241
201604,-0.022252384,0.001241
201605,-0.011174602,0.001241
201606,0.029095138,0.001241
201607,0.016991233,0.001241
201608,0.034367533,0.001241
201609,-0.020955463,0.001241
201610,0.03232933,0.001241
201611,0.037368632,0.001241
201612,-0.045470529,0.001241
201701,0.005406684,0.001241
201702,0.029246286,0.001241
201703,-0.006143635,0.001241
201704,-0.025017243,0.001241
201705,-0.038183962,0.001241
201706,0.047917733,0.001241
201707,0.017809152,0.001241
201708,0.018825863,0.001241
201709,0.015864064,0.001241
201710,0.014896448,0.001241
201711,-0.034034412,0.001241
201712,0.004600048,0.001241
201801,0.021190068,0.001241
201802,-0.047200179,0.001241
201803,-0.005643193,0.001241
201804,-0.03700948,0.001241
201805,0.012117939,0.001241
201806,-0.08253197,0.001241
201807,0.001450717,0.001241
201808,-0.066005376,0.001241
201809,0.018449238,0.001241
201810,-0.111768233,0.001241
201811,0.020878912,0.001241
201812,-0.039218518,0.001241
201901,0.021999832,0.001241
201902,0.162340098,0.001241
201903,0.080544095,0.001241
201904,-0.017531237,0.001241
201905,-0.060952921,0.001241
201906,0.026107281,0.001241
201907,-0.006371846,0.001241
201908,0.00049243,0.001241
201909,0.002449799,0.001241
201910,0.002994179,0.001241
201911,-0.014367707,0.001241
201912,0.070332416,0.001241
202001,-0.003960627,0.001241
202002,0.000787447,0.001241
202003,0.045544757,0.001241
